Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,사업장명,인허가일자,영업상태명,폐업일자,지번주소,도로명주소,좌표정보(X),좌표정보(Y),소재지면적,가격대,위도,경도,지하철역과거리,주변저가형카페수,주변중저가형카페수,주변고가형카페수,주변평균월세,주변유동인구수
247,250.0,250.0,250.0,이디야 커피(이마트이문점),20091210,폐업,20160308,서울특별시 동대문구 이문동 292-10번지 지하1층 ,"서울특별시 동대문구 이문로 136, 지하1층 (이문동, KCC웰츠타워)",205396.363734301,455131.683241064,31.63,중저가,37.59848835511636,127.05900468022875,1.251834767179154,2.0,0.0,0.0,28.6,5033979.0
248,251.0,251.0,251.0,이디야커피답십리사거리점,20131014,폐업,20210723,서울특별시 동대문구 답십리동 245-2 1층 ,"서울특별시 동대문구 답십리로 154, 1층 (답십리동)",204974.071407858,452260.622710941,70.58,중저가,37.57262287397858,127.05420351287783,0.6377648712626782,2.0,1.0,1.0,46.333333333333336,3088189.0
249,252.0,252.0,252.0,이디야 외대대학원점,20100825,폐업,20170919,서울특별시 동대문구 이문동 270-1번지 대학원 1층 ,"서울특별시 동대문구 이문로 107 (이문동,대학원 1층)",205114.830839822,455013.644655621,92.40,중저가,37.59742643485816,127.05581585726163,1.1965189380053236,1.0,0.0,3.0,46.333333333333336,5033979.0
250,253.0,253.0,253.0,이디야 개화산점,20110201,영업/정상,,서울특별시 강서구 방화동 849-0 벽산에어트리움 (지상 1층) 본관동 101~103호,"서울특별시 강서구 양천로 28, 벽산에어트리움 본관동 1층 101~103호 (방화동)",182876.367858149,452247.393831256,95.01,중저가,37.57235643996594,126.80406179993368,0.1496132652413736,0.0,1.0,1.0,46.333333333333336,215245.0
251,254.0,254.0,254.0,이디야,20220214,영업/정상,,서울특별시 중랑구 상봉동 116-12 ,"서울특별시 중랑구 망우로 277, 1층 (상봉동)",207297.240092472,454863.701751677,170.25,중저가,37.59606091480182,127.0805270818045,0.4910896536256536,3.0,1.0,2.0,33.922222222222224,2198055.0
252,255.0,255.0,255.0,이디야커피 서울중화초등학교점,20220304,영업/정상,,서울특별시 중랑구 신내동 531-2 제이리옴,"서울특별시 중랑구 신내로7가길 7, 제이리옴 1층 101호 (신내동)",208359.936764107,455562.498229876,71.26,중저가,37.602347984992406,127.0925683122602,0.8468320049146919,0.0,0.0,0.0,46.333333333333336,245556.0
253,256.0,256.0,256.0,이디야커피 신내동점,20120910,영업/정상,,서울특별시 중랑구 신내동 613-10 ,"서울특별시 중랑구 봉화산로 215, 1층 (신내동)",208457.071353064,456153.414908527,66.00,중저가,37.60767115372262,127.0936750696097,0.9737083686861624,2.0,0.0,1.0,46.333333333333336,245556.0
254,257.0,257.0,257.0,이디야(사가정점),20120905,영업/정상,,서울특별시 중랑구 면목동 496-18번지 ,"서울특별시 중랑구 면목로 325, 1층 (면목동)",207718.31028614,453208.570852504,70.00,중저가,37.58114504370037,127.08527773133748,0.2969139331903209,3.0,0.0,2.0,46.333333333333336,1314619.0
255,258.0,258.0,258.0,이디야망우동점,2012-10-24,영업/정상,,서울특별시 중랑구 망우동 470-14,"서울특별시 중랑구 망우로 416, 1층 (망우동)",208616.651000986,455204.466330052,68.00,중저가,37.59911983245761,127.09547124751948,0.8720264694363989,2.0,0.0,1.0,46.333333333333336,2862706.0
256,259.0,259.0,259.0,이디야커피,20091102,영업/정상,,서울특별시 중랑구 신내동 646번지 ,"서울특별시 중랑구 신내로 211, 114호 (신내동, 금강리빙스텔)",208112.860200669,457113.638411288,34.10,중저가,37.61632565432782,127.08978738999562,0.310977928247879,2.0,0.0,1.0,46.333333333333336,6092773.0
