Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,사업장명,인허가일자,영업상태명,폐업일자,지번주소,도로명주소,좌표정보(X),좌표정보(Y),소재지면적,가격대,위도,경도,지하철역과거리,주변저가형카페수,주변중저가형카페수,주변고가형카페수,주변평균월세,주변유동인구수
423,430.0,430.0,430.0,430.0,메가엠지씨커피 자양시장점,2020-10-26,영업/정상,,서울특별시 광진구 자양동 612-60 혜성빌딩 1층,"서울특별시 광진구 자양로15길 18, 혜성빌딩 1층 (자양동)",207235.634628029,448183.913242686,55.0,저가,37.53587732181427,127.0797642018246,0.8525065554673742,3.0,1.0,4.0,36.55555555555556,5803033.0
424,431.0,431.0,431.0,431.0,컴포즈커피 가좌역 가재울점,2022-12-09,영업/정상,,서울특별시 서대문구 북가좌동 487 성공타워1,"서울특별시 서대문구 수색로 56, 성공타워1 1층 127,128호 (북가좌동)",192209.323632506,452067.039429636,75.84,저가,37.57085830916987,126.909710696332,0.9096982284991604,2.0,1.0,0.0,36.55555555555556,544418.0
425,432.0,432.0,432.0,432.0,컴포즈커피 신금호중앙점,2023-02-21,영업/정상,,서울특별시 성동구 금호동2가 326 금호빌딩,"서울특별시 성동구 금호산길 67, 1층 (금호동2가)",201654.04961098,450231.313132318,117.78,저가,37.554350728010206,127.01661699912214,0.2820259447594538,1.0,0.0,1.0,36.55555555555556,4788406.0
426,433.0,433.0,433.0,433.0,컴포즈커피 한남순천향점,2023-02-20,영업/정상,,서울특별시 용산구 한남동 636-7,"서울특별시 용산구 대사관로 64, 1층 (한남동)",200384.512011927,447884.322201482,36.3,저가,37.53320584153227,127.00224852072242,0.6864327550635922,0.0,2.0,1.0,46.333333333333336,10061716.0
427,434.0,434.0,434.0,434.0,메가엠지씨커피 여의중앙점,2023-01-31,영업/정상,,서울특별시 영등포구 여의도동 44-21 중앙빌딩,"서울특별시 영등포구 국제금융로8길 19, 중앙빌딩 1층 101호 (여의도동)",193678.695372375,446510.536954452,38.35,저가,37.52080607831989,126.92639166466934,0.2758138173293158,2.0,2.0,12.0,26.266666666666666,6362499.0
428,435.0,435.0,435.0,435.0,컴포즈 커피 중랑중화점,2021-06-23,영업/정상,,서울특별시 중랑구 중화동 302-77,"서울특별시 중랑구 중랑역로 66, 1층 (중화동)",206841.43008946,455205.216168994,49.0,저가,37.59914136975975,127.07536893136984,0.4327193568760526,2.0,1.0,0.0,28.6,1192162.0
429,436.0,436.0,436.0,436.0,메가엠지씨커피월곡두산점,2018-07-16,영업/정상,,서울특별시 성북구 하월곡동 222 월곡두산위브아파트,"서울특별시 성북구 오패산로 46, 주상가동 1층 106호 (하월곡동, 월곡두산위브아파트)",203318.127254872,456078.982123486,32.76,저가,37.6070330464204,127.03547544673836,0.7868428504698699,0.0,0.0,0.0,51.66666666666666,238950.0
430,437.0,437.0,437.0,437.0,메가엠지씨 커피 수유점,20191107,영업/정상,,서울특별시 강북구 수유동 173-6번지 ,"서울특별시 강북구 도봉로 379, 1층 (수유동)",202441.260545774,459852.150637095,50.0,저가,37.641031207091984,127.02555714393574,0.2015535725785095,2.0,1.0,1.0,32.74444444444444,3189229.0
431,438.0,438.0,438.0,438.0,컴포즈커피 수유3동점,2016-12-19,영업/정상,,서울특별시 강북구 번동 464-7,"서울특별시 강북구 도봉로 386, 1층 (번동)",202511.464052799,459845.65899321,80.0,저가,37.64097253467001,127.02635254279686,0.152945475804183,1.0,1.0,0.0,34.24444444444445,3189229.0
432,439.0,439.0,439.0,439.0,메가엠지씨커피창동어울림점,2021-04-02,영업/정상,,서울특별시 도봉구 창동 296-20,"서울특별시 도봉구 해등로16길 32, 1층 (창동)",203614.070014225,461452.594984336,56.0,저가,37.655447041717046,127.0388530973538,0.7840940488805972,1.0,2.0,1.0,51.66666666666666,664090.0
433,440.0,440.0,440.0,440.0,메가엠지씨커피 화랑대역점,2019-02-07,영업/정상,,서울특별시 노원구 공릉동 90-1 해중빌딩,"서울특별시 노원구 노원로1길 9, 103호 (공릉동, 해중빌딩)",207557.422364404,457764.277978417,33.21,저가,37.62219247485912,127.08350291387498,0.2380696348820297,0.0,1.0,1.0,56.72222222222222,6092773.0
434,441.0,441.0,441.0,441.0,메가엠지씨커피 마들역점,20220121,영업/정상,,서울특별시 노원구 상계동 651 11단지종합상가 ,"서울특별시 노원구 동일로 1541, 11단지종합상가 1층 103,104호 (상계동)",204962.052697783,462608.538123171,50.4,저가,37.66585558750895,127.05413672741956,0.3200873115564488,1.0,1.0,0.0,34.88888888888889,449373.0
435,442.0,442.0,442.0,442.0,메가엠지씨커피 화곡곰달래점,2023-02-16,영업/정상,,서울특별시 강서구 화곡동 871-6,"서울특별시 강서구 곰달래로 185, 1층 (화곡동)",186988.512166651,447677.27951027,60.0,저가,37.53124780615204,126.85069167155363,0.4162684368939282,1.0,0.0,0.0,47.12222222222224,4187453.0
436,443.0,443.0,443.0,443.0,컴포즈커피 은평응암오거리점,2021-12-28,영업/정상,,서울특별시 은평구 응암동 590-1,"서울특별시 은평구 가좌로 231, 1층 (응암동)",192565.042051109,454222.084119125,47.81,저가,37.59027791016696,126.91371522574072,0.1050792154606344,1.0,2.0,1.0,43.41111111111112,2886930.0
437,444.0,444.0,444.0,444.0,컴포즈커피 삼각지역점,2023-02-23,영업/정상,,서울특별시 용산구 용산동3가 1-2,"서울특별시 용산구 한강대로62가길 20, 1층 제8호 (용산동3가)",197714.865518725,448045.845883337,16.0,저가,37.5346582232204,126.97204394003477,0.1038607532470239,1.0,1.0,0.0,26.266666666666666,3310202.0
438,445.0,445.0,445.0,445.0,메가엠지씨커피 대림썬프라자점,2023-02-23,영업/정상,,서울특별시 영등포구 대림동 909-2 썬프라자별관,"서울특별시 영등포구 신길로 41, 썬프라자별관 1층 (대림동)",191800.728214995,443809.773854649,63.5,저가,37.4964574033344,126.9051784442376,0.567666765278055,1.0,1.0,0.0,47.12222222222224,1212049.0
439,446.0,446.0,446.0,446.0,컴포즈커피 명지대사거리점,20220325,영업/정상,,서울특별시 서대문구 남가좌동 388 DMC센트럴아이파크 제상가동 B304호,"서울특별시 서대문구 증가로 150, 제상가동 제지3층 B304호 (남가좌동, DMC센트럴아이파크)",192944.068716589,452838.637630229,36.79,저가,37.5778162750054,126.91802019674532,1.0004686033790282,1.0,0.0,3.0,33.922222222222224,8918435.0
440,447.0,447.0,447.0,447.0,메가엠지씨커피 홍대입구역점,2017-07-24,영업/정상,,서울특별시 마포구 동교동 164-22,"서울특별시 마포구 홍익로6길 48 (동교동, 1층일부)",193236.410040348,450439.362217746,118.35,저가,37.556201314004326,126.92135201425246,0.2238672240764071,1.0,1.0,11.0,40.93333333333334,366250.0
441,448.0,448.0,448.0,448.0,빽다방 목동파리공원점,2015-08-10,영업/정상,,서울특별시 양천구 목동 907-5 목동가든스위트 지상1층 102호,"서울특별시 양천구 목동서로 65, 1층 102호 (목동, 목동가든스위트)",189212.074951921,448218.44369401,43.47,저가,37.53615248009662,126.87584008146592,1.28603938825004,3.0,1.0,3.0,30.91111111111111,222600.0
442,449.0,449.0,449.0,449.0,메가엠지씨커피 신정푸른마을점,20220602,영업/정상,,서울특별시 양천구 신정동 773-5 유광빌딩,"서울특별시 양천구 신정로11길 62, 유광빌딩 1층 101~102호 (신정동)",185572.760435391,445539.789716155,84.58,저가,37.51196805192785,126.83471663719789,1.8118487690061875,0.0,1.0,0.0,55.45555555555556,358754.0
443,450.0,450.0,450.0,450.0,메가엠지씨커피 용산후암점,2023-02-24,영업/정상,,서울특별시 용산구 후암동 244-71,"서울특별시 용산구 후암로 42-2, 1층 (후암동)",197950.438038716,449726.556024716,60.59,저가,37.54980186005845,126.97470439343276,0.4046068790334102,1.0,1.0,0.0,55.45555555555556,497568.0
444,451.0,451.0,451.0,451.0,메가엠지씨커피 이마트에브리데이 중계동점,2023-02-24,영업/정상,,서울특별시 노원구 중계동 58-34 이연아마빌레,"서울특별시 노원구 중계로12길 39, 1층 (중계동, 이연아마빌레)",207224.076240442,460471.546550414,46.9,저가,37.6465870028676,127.07975349922388,1.3825251004228436,1.0,0.0,0.0,55.45555555555556,1867546.0
445,452.0,452.0,452.0,452.0,컴포즈커피 구로항동점,2021-05-20,영업/정상,,서울특별시 구로구 항동 242-1,"서울특별시 구로구 서해안로 2096, 1층 110호 (항동)",184272.859477603,441965.79198493,28.4,저가,37.479745196328416,126.82009061672495,1.29807189107745,0.0,1.0,1.0,55.45555555555556,344199.0
446,453.0,453.0,453.0,453.0,컴포즈커피 중랑면목시장점,20230110,영업/정상,,서울특별시 중랑구 면목동 633-12 KG TOWER,"서울특별시 중랑구 면목로 293, A동 101호 (면목동, KG TOWER)",207549.933310553,452969.819686892,34.8,저가,37.57899531410603,127.08336907757838,0.5776887942665262,0.0,1.0,2.0,55.45555555555556,1314619.0
447,454.0,454.0,454.0,454.0,빽다방 반포고투몰2호점,20150916,영업/정상,,서울특별시 서초구 반포동 128-4번지 강남터미널지하쇼핑몰 T-012호,"서울특별시 서초구 신반포로 지하 200, T-012호 (반포동, 강남터미널지하쇼핑몰)",200367.588604211,444873.437818732,23.75,저가,37.50607790721937,127.0020558096768,0.2834755493724853,3.0,3.0,9.0,55.45555555555556,2446037.0
448,455.0,455.0,455.0,455.0,메가엠지씨커피 강남자곡점,2023-02-02,영업/정상,,서울특별시 강남구 자곡동 658 강남힐스테이트에코,"서울특별시 강남구 자곡로 202, 강남힐스테이트에코 지상1층 101호 (자곡동)",209201.961413428,441399.856009506,48.72,저가,37.47473582366604,127.10192750369607,1.5082151630840177,1.0,2.0,1.0,30.91111111111111,229309.0
449,456.0,456.0,456.0,456.0,빽다방 둔촌동역점,2015-11-09,폐업,2024-01-16,서울특별시 강동구 성내동 429-2,"서울특별시 강동구 양재대로 1339, 1층 2호 (성내동)",211863.996107162,447092.251026265,59.17,저가,37.52599395104976,127.13211316911566,0.9431728266724554,1.0,0.0,0.0,55.45555555555556,1234073.0
450,457.0,457.0,457.0,457.0,메가엠지씨커피 강일2지구,20210329,영업/정상,,서울특별시 강동구 강일동 76-2 아이메디컬 ,"서울특별시 강동구 아리수로93나길 38, 아이메디컬 1층 101,102호 (강일동)",215303.913311463,452189.755118282,82.0,저가,37.57187141906314,127.17113389520856,1.6512709774090448,1.0,1.0,1.0,40.75555555555556,248692.0
451,458.0,458.0,458.0,458.0,메가엠지씨커피 굽은다리역점,2021-05-06,영업/정상,,서울특별시 강동구 명일동 353-3 죽애빌딩,"서울특별시 강동구 양재대로 1566, 죽애빌딩 1층 (명일동)",212588.131469531,449225.626166119,135.0,저가,37.54520591734414,127.14034150475032,0.2663610178464104,3.0,1.0,6.0,55.45555555555556,2762074.0
452,459.0,459.0,459.0,459.0,메가엠지씨 커피 고덕래미안점,20210811,영업/정상,,서울특별시 강동구 고덕동 688 래미안힐스테이트고덕,"서울특별시 강동구 아리수로50길 50, 상가동 1층 107호 (고덕동, 래미안힐스테이트고덕)",212926.089912845,450751.524331915,36.2,저가,37.55894942369064,127.14419246197698,0.8681361768451429,0.0,1.0,0.0,55.45555555555556,13334438.0
